minute,event_count
2018-01-08 02:01:00,40
2018-01-08 02:02:00,35
2018-01-08 02:03:00,9
2018-01-08 02:04:00,88
2018-01-08 02:05:00,105
2018-01-08 02:06:00,59
2018-01-08 02:07:00,40
2018-01-08 02:08:00,40
2018-01-08 02:09:00,3
2018-01-08 02:10:00,60
2018-01-08 02:11:00,49
2018-01-08 02:12:00,61
2018-01-08 02:13:00,23
2018-01-08 02:14:00,23
2018-01-08 02:15:00,54
2018-01-08 02:16:00,16
2018-01-08 02:17:00,37
2018-01-08 02:18:00,72
2018-01-08 02:19:00,35
2018-01-08 02:20:00,56
2018-01-08 02:21:00,27
2018-01-08 02:22:00,2
2018-01-08 02:23:00,9
2018-01-08 02:24:00,34
2018-01-08 02:25:00,5
2018-01-08 02:26:00,77
2018-01-08 02:27:00,84
2018-01-08 02:28:00,52
2018-01-08 02:29:00,53
2018-01-08 02:30:00,50
2018-01-08 02:31:00,117
2018-01-08 02:32:00,34
2018-01-08 02:33:00,21
2018-01-08 02:35:00,17
2018-01-08 02:36:00,54
2018-01-08 02:37:00,9
2018-01-08 02:38:00,156
2018-01-08 02:39:00,27
2018-01-08 02:40:00,54
2018-01-08 02:41:00,64
2018-01-08 02:42:00,6
2018-01-08 02:43:00,9
2018-01-08 02:44:00,157
2018-01-08 02:45:00,26
2018-01-08 02:46:00,56
2018-01-08 02:47:00,1
2018-01-08 02:48:00,73
2018-01-08 02:49:00,54
2018-01-08 02:50:00,19
2018-01-08 02:51:00,38
2018-01-08 02:52:00,2
2018-01-08 02:53:00,56
2018-01-08 02:54:00,24
2018-01-08 02:55:00,6
2018-01-08 02:56:00,39
2018-01-08 02:57:00,12
2018-01-08 02:58:00,5
2018-01-08 02:59:00,2
2018-01-08 03:00:00,14
2018-01-08 03:02:00,61
2018-01-08 03:03:00,147
2018-01-08 03:04:00,211
2018-01-08 03:05:00,26
2018-01-08 03:06:00,83
2018-01-08 03:07:00,32
2018-01-08 03:08:00,20
2018-01-08 03:09:00,4
2018-01-08 03:10:00,21
2018-01-08 03:11:00,120
2018-01-08 03:12:00,19
2018-01-08 03:13:00,6
2018-01-08 03:14:00,27
2018-01-08 03:15:00,29
2018-01-08 03:16:00,2
2018-01-08 03:17:00,4
2018-01-08 03:18:00,8
2018-01-08 03:20:00,293
2018-01-08 03:21:00,36
2018-01-08 03:22:00,13
2018-01-08 03:23:00,15
2018-01-08 03:24:00,9
2018-01-08 03:25:00,22
2018-01-08 03:26:00,40
2018-01-08 03:27:00,46
2018-01-08 03:28:00,2
2018-01-08 03:29:00,2
2018-01-08 03:32:00,31
2018-01-08 03:33:00,9
2018-01-08 03:34:00,12
2018-01-08 03:35:00,72
2018-01-08 03:36:00,4
2018-01-08 03:37:00,10
2018-01-08 03:38:00,2
2018-01-08 03:39:00,57
2018-01-08 03:40:00,37
2018-01-08 03:41:00,3
2018-01-08 03:42:00,6
2018-01-08 03:43:00,3
2018-01-08 03:44:00,110
2018-01-08 03:45:00,17
2018-01-08 03:46:00,5
2018-01-08 03:47:00,9
2018-01-08 03:48:00,20
2018-01-08 03:49:00,255
2018-01-08 03:50:00,5
2018-01-08 03:51:00,81
2018-01-08 03:52:00,71
2018-01-08 03:53:00,221
2018-01-08 03:54:00,93
2018-01-08 03:55:00,30
2018-01-08 03:56:00,110
2018-01-08 03:57:00,61
2018-01-08 03:58:00,190
2018-01-08 03:59:00,18
2018-01-08 04:00:00,26
