Sequence,Action,Qty,Price,Liquidity,Direction
1,+5,5,99.8125,499.0625,Sideways
2,+5,5,99.8046875,998.0859375,Up
3,+5,5,99.796875,1497.0703125,Up
4,+5,5,99.7890625,1996.015625,Up
5,+5,5,99.78125,2494.921875,Up
6,-5,5,99.8515625,1995.6640625,Down
7,-5,5,99.859375,1496.3671875,Down
8,-5,5,99.8671875,997.03125,Down
9,-5,5,99.875,497.65625,Down
10,-5,5,99.8828125,-1.7578125,Down
11,-5,5,99.859375,-501.0546875,Down
12,-5,5,99.8671875,-1000.390625,Down
13,-5,5,99.875,-1499.765625,Down
14,-5,5,99.8828125,-1999.1796875,Down
15,-5,5,99.890625,-2498.6328125,Down
16,+5,5,99.8046875,-1999.609375,Up
17,+5,5,99.796875,-1500.625,Up
18,+5,5,99.7890625,-1001.6796875,Up
19,+5,5,99.78125,-502.7734375,Up
20,+5,5,99.7734375,-3.90625,Up
21,-5,5,99.859375,-503.203125,Down
22,+5,5,99.8046875,-4.1796875,Up
23,-5,5,99.8671875,-503.515625,Down
24,+5,5,99.796875,-4.53125,Up
25,+5,5,99.7890625,494.4140625,Up
26,+5,5,99.7734375,993.28125,Up
27,+5,5,99.78125,1492.1875,Up
28,-5,5,99.875,992.8125,Down
29,-5,5,99.8828125,493.3984375,Down
30,-5,5,99.890625,-6.0546875,Down
31,+5,5,99.7578125,492.734375,Up
32,-5,5,99.90625,-6.796875,Down
33,+5,5,99.765625,492.03125,Up
34,-5,5,99.8984375,-7.4609375,Down
35,+15,15,99.78125,1489.2578125,Up
36,+7,7,99.796875,2187.8359375,Up
37,-7,7,99.84375,1488.9296875,Down
38,-5,5,99.8515625,989.671875,Down
39,+7,7,99.8046875,1688.3046875,Up
40,-7,7,99.8515625,989.34375,Down
41,-5,5,99.84375,490.125,Down
42,-5,5,99.84375,-9.09375,Down
43,-5,5,99.84375,-508.3125,Down
44,+15,15,99.8203125,988.9921875,Up
45,+5,5,99.8125,1488.0546875,Up
46,-52,52,99.8515625,-3704.2265625,Down
47,-54,54,99.859375,-9096.6328125,Down
48,-51,51,99.8671875,-14189.859375,Down
49,-51,51,99.875,-19283.484375,Down
50,+53,53,99.8125,-13993.421875,Up
51,-50,50,99.8828125,-18987.5625,Down
52,+53,53,99.796875,-13698.328125,Up
53,+53,53,99.8046875,-8408.6796875,Up
54,+54,54,99.7890625,-3020.0703125,Up
55,+51,51,99.78125,2068.7734375,Up
