Timestamp,Record Type,Instrument,Ob Position,Quantity Diff,Ob Command,Change Reason,Order Number,Premium (256ths),Quantity,Bid/Ask,Total Volume,Display Quantity,Sequence,Source,Instrument Name,Deal Source,Aggressive,Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask
02:01:19:825375 20180108,OB_CHANGE,2_YEAR,1.0,5.0,ADD,6.0,605794000000B2C2,25552,5.0,B,0.0,,1,OC,,,,,,,,,
02:01:19:845699 20180108,OB_CHANGE,2_YEAR,2.0,5.0,ADD,6.0,605794000000B2C3,25550,5.0,B,0.0,,2,OC,,,,,,,,,
02:01:19:865756 20180108,OB_CHANGE,2_YEAR,3.0,5.0,ADD,6.0,605794000000B2C4,25548,5.0,B,0.0,,3,OC,,,,,,,,,
02:01:19:885804 20180108,OB_CHANGE,2_YEAR,4.0,5.0,ADD,6.0,605794000000B2C5,25546,5.0,B,0.0,,4,OC,,,,,,,,,
02:01:19:905847 20180108,OB_CHANGE,2_YEAR,5.0,5.0,ADD,6.0,605794000000B2C6,25544,5.0,B,0.0,,5,OC,,,,,,,,,
02:01:23:126777 20180108,OB_CHANGE,2_YEAR,1.0,5.0,ADD,6.0,605794000000B2C9,25562,5.0,A,0.0,,6,OC,,,,,,,,,
02:01:23:146900 20180108,OB_CHANGE,2_YEAR,2.0,5.0,ADD,6.0,605794000000B2CA,25564,5.0,A,0.0,,7,OC,,,,,,,,,
02:01:23:167007 20180108,OB_CHANGE,2_YEAR,3.0,5.0,ADD,6.0,605794000000B2CB,25566,5.0,A,0.0,,8,OC,,,,,,,,,
02:01:23:187164 20180108,OB_CHANGE,2_YEAR,4.0,5.0,ADD,6.0,605794000000B2CC,25568,5.0,A,0.0,,9,OC,,,,,,,,,
02:01:23:207270 20180108,OB_CHANGE,2_YEAR,5.0,5.0,ADD,6.0,605794000000B2CD,25570,5.0,A,0.0,,10,OC,,,,,,,,,
02:01:25:880563 20180108,OB_CHANGE,2_YEAR,3.0,5.0,ADD,6.0,605794000000B2DD,25564,5.0,A,0.0,,11,OC,,,,,,,,,
02:01:25:900671 20180108,OB_CHANGE,2_YEAR,5.0,5.0,ADD,6.0,605794000000B2DE,25566,5.0,A,0.0,,12,OC,,,,,,,,,
02:01:25:920795 20180108,OB_CHANGE,2_YEAR,7.0,5.0,ADD,6.0,605794000000B2DF,25568,5.0,A,0.0,,13,OC,,,,,,,,,
02:01:25:940865 20180108,OB_CHANGE,2_YEAR,9.0,5.0,ADD,6.0,605794000000B2E0,25570,5.0,A,0.0,,14,OC,,,,,,,,,
02:01:25:961029 20180108,OB_CHANGE,2_YEAR,10.0,5.0,ADD,6.0,605794000000B2E5,25572,5.0,A,0.0,,15,OC,,,,,,,,,
